company_id,observations,observed_years,first_year,last_year,positive_observations
0000730272,5,5,2012,2016,0
0000730349,9,9,2012,2020,1
0000730464,10,10,2011,2020,1
0000730716,1,1,2012,2012,1
0000731012,10,10,2011,2020,0
0000732412,1,1,2011,2011,0
0000732712,6,6,2011,2016,0
0000732717,6,6,2011,2017,0
0000732834,10,10,2011,2020,2
0000733269,7,7,2011,2020,0
0000736012,6,6,2011,2020,3
0000736822,1,1,2015,2015,0
0000737207,1,1,2018,2018,1
0000737300,3,3,2011,2013,1
0000737758,2,2,2019,2020,0
0000738214,10,10,2011,2020,3
0000739608,2,2,2012,2013,0
0000739708,5,5,2012,2016,0
0000739878,2,2,2011,2012,1
0000740664,10,10,2011,2020,0
0000740694,1,1,2011,2011,1
0000740726,2,2,2011,2012,1
0000741114,2,2,2012,2013,1
0000741815,6,6,2011,2016,3
0000742112,9,9,2012,2020,0
0000742278,10,10,2011,2020,3
0000743238,10,10,2011,2020,0
0000743316,9,9,2011,2019,1
0000743758,4,4,2012,2015,2
0000743988,8,8,2011,2019,0
0000744452,6,6,2011,2016,2
0000744825,4,4,2017,2020,1
0000745732,1,1,2020,2020,0
0000746210,9,9,2012,2020,3
0000746515,6,6,2011,2016,0
0000746598,9,9,2011,2020,0
0000746838,6,6,2011,2016,1
0000746967,2,2,2011,2012,0
0000747540,10,10,2011,2020,0
0000748268,3,3,2013,2020,2
0000748592,6,6,2011,2016,1
0000749038,6,6,2012,2019,1
0000749251,6,6,2011,2016,0
0000749660,6,6,2011,2016,2
0000749872,1,1,2012,2012,0
0000749935,2,2,2011,2012,1
0000750004,5,5,2012,2016,0
0000751085,2,2,2012,2013,0
0000751365,9,9,2012,2020,0
0000751978,10,10,2011,2020,2
0000752294,8,8,2012,2020,2
0000752902,1,1,2012,2012,0
0000753048,2,2,2012,2013,1
0000753772,2,2,2012,2015,1
0000754813,2,2,2013,2014,1
0000757011,7,7,2011,2017,0
0000758743,9,9,2012,2020,5
0000758938,4,4,2012,2018,1
0000760326,1,1,2011,2011,0
0000763532,7,7,2012,2020,1
0000763744,10,10,2011,2020,0
0000763950,1,1,2011,2011,1
0000764065,6,6,2011,2020,3
0000764180,2,2,2019,2020,0
0000764195,5,5,2016,2020,3
0000764401,10,10,2011,2020,0
0000764478,8,8,2013,2020,0
0000764579,3,3,2011,2013,2
0000764839,1,1,2011,2011,1
0000766421,6,6,2011,2016,0
0000766561,2,2,2011,2012,0
0000766792,10,10,2011,2020,4
0000767920,3,3,2011,2013,1
0000768251,3,3,2011,2013,1
0000768411,9,9,2011,2020,2
0000768835,10,10,2011,2020,1
0000769397,6,6,2011,2016,4
0000769520,10,10,2011,2020,0
0000771266,6,6,2011,2016,3
0000771497,10,10,2011,2020,0
0000771856,6,6,2012,2017,3
0000771950,1,1,2011,2011,1
0000771999,3,3,2011,2016,0
0000772406,9,9,2012,2020,2
0000772897,4,4,2011,2014,0
0000773318,5,5,2015,2020,3
0000773840,6,6,2011,2016,0
0000774937,2,2,2015,2016,2
0000775057,10,10,2011,2020,2
0000775158,10,10,2011,2020,1
0000776008,2,2,2011,2012,1
0000776325,2,2,2011,2012,0
0000778164,8,8,2011,2020,3
0000778734,1,1,2012,2012,0
0000779152,2,2,2012,2020,0
0000779544,6,6,2011,2016,0
0000780571,5,5,2011,2016,1
0000781902,7,7,2011,2020,2
0000783005,7,7,2012,2018,2
0000783412,1,1,2014,2014,0
0000784199,6,6,2011,2016,0
0000784539,9,9,2012,2020,0
0000785557,4,4,2017,2020,0
0000785786,10,10,2011,2020,0
0000785787,5,5,2011,2015,0
0000785956,9,9,2012,2020,1
0000786620,2,2,2011,2012,0
0000786947,8,8,2013,2020,6
0000787253,8,8,2012,2020,1
0000788329,10,10,2011,2020,0
0000788611,9,9,2012,2020,3
0000788920,8,8,2012,2020,3
0000788965,1,1,2020,2020,0
0000789019,6,6,2011,2016,0
0000789132,5,5,2011,2015,2
0000789460,9,9,2011,2020,0
0000789570,6,6,2011,2016,0
0000789868,1,1,2011,2011,0
0000789933,8,8,2011,2020,0
0000789944,1,1,2011,2011,0
0000790051,10,10,2011,2020,0
0000790526,7,7,2012,2018,0
0000790652,1,1,2019,2019,1
0000790703,6,6,2012,2018,0
0000790715,6,6,2011,2016,1
0000791519,5,5,2011,2015,0
0000791770,3,3,2011,2013,0
0000791907,5,5,2011,2015,1
0000791908,6,6,2011,2016,2
0000791915,8,8,2011,2018,2
0000792130,6,6,2012,2017,2
0000792935,3,3,2012,2020,0
0000792977,1,1,2016,2016,1
0000792987,10,10,2011,2020,0
0000793074,10,10,2011,2020,0
0000793306,9,9,2012,2020,4
0000793733,1,1,2016,2016,0
