research_universe_company_year_id,cik10,feature_year,anchor_accession,primitive,tag,value,start,end,review_outcome
0001597033-2019,0001597033,2019,0001597033-20-000026,assets,Assets,5689957000.0,,2019-12-31,PASS_exact_companyfacts_record
0001597033-2019,0001597033,2019,0001597033-20-000026,liabilities,derived:LiabilitiesAndStockholdersEquity-StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,4742288000.0,,2019-12-31,PASS_derived_sources_recorded
0001597033-2019,0001597033,2019,0001597033-20-000026,current_assets,AssetsCurrent,1121920000.0,,2019-12-31,PASS_exact_companyfacts_record
0001597033-2019,0001597033,2019,0001597033-20-000026,current_liabilities,LiabilitiesCurrent,1025543000.0,,2019-12-31,PASS_exact_companyfacts_record
0001597033-2019,0001597033,2019,0001597033-20-000026,net_income,NetIncomeLoss,158592000.0,2019-01-01,2019-12-31,PASS_exact_companyfacts_record
0001597033-2019,0001597033,2019,0001597033-20-000026,operating_cash_flow,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,581260000.0,2019-01-01,2019-12-31,PASS_exact_companyfacts_record
0001682265-2020,0001682265,2020,0001477932-21-001929,assets,Assets,340344.0,,2020-12-31,PASS_exact_companyfacts_record
0001682265-2020,0001682265,2020,0001477932-21-001929,liabilities,Liabilities,486350.0,,2020-12-31,PASS_exact_companyfacts_record
0001682265-2020,0001682265,2020,0001477932-21-001929,current_assets,AssetsCurrent,302122.0,,2020-12-31,PASS_exact_companyfacts_record
0001682265-2020,0001682265,2020,0001477932-21-001929,current_liabilities,LiabilitiesCurrent,413042.0,,2020-12-31,PASS_exact_companyfacts_record
0001682265-2020,0001682265,2020,0001477932-21-001929,net_income,NetIncomeLoss,-306068.0,2020-01-01,2020-12-31,PASS_exact_companyfacts_record
0001682265-2020,0001682265,2020,0001477932-21-001929,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,-121494.0,2020-01-01,2020-12-31,PASS_exact_companyfacts_record
0001441849-2013,0001441849,2013,0001104659-14-009852,assets,Assets,2357425000.0,,2013-12-31,PASS_exact_joint_scope_xbrl_record
0001441849-2013,0001441849,2013,0001104659-14-009852,liabilities,Liabilities,1355376000.0,,2013-12-31,PASS_exact_joint_scope_xbrl_record
0001441849-2013,0001441849,2013,0001104659-14-009852,current_assets,AssetsCurrent,531561000.0,,2013-12-31,PASS_exact_joint_scope_xbrl_record
0001441849-2013,0001441849,2013,0001104659-14-009852,current_liabilities,LiabilitiesCurrent,307401000.0,,2013-12-31,PASS_exact_joint_scope_xbrl_record
0001441849-2013,0001441849,2013,0001104659-14-009852,net_income,NetIncomeLoss,51971000.0,2013-01-01,2013-12-31,PASS_exact_joint_scope_xbrl_record
0001441849-2013,0001441849,2013,0001104659-14-009852,operating_cash_flow,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,180740000.0,2013-01-01,2013-12-31,PASS_exact_joint_scope_xbrl_record
0001588242-2013,0001588242,2013,0001047469-14-003617,assets,Assets,736719000.0,,2013-12-31,PASS_exact_joint_scope_xbrl_record
0001588242-2013,0001588242,2013,0001047469-14-003617,liabilities,Liabilities,1113142000.0,,2013-12-31,PASS_exact_joint_scope_xbrl_record
0001588242-2013,0001588242,2013,0001047469-14-003617,current_assets,AssetsCurrent,51217000.0,,2013-12-31,PASS_exact_joint_scope_xbrl_record
0001588242-2013,0001588242,2013,0001047469-14-003617,current_liabilities,LiabilitiesCurrent,96337000.0,,2013-12-31,PASS_exact_joint_scope_xbrl_record
0001588242-2013,0001588242,2013,0001047469-14-003617,operating_cash_flow,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,84834000.0,2013-01-01,2013-12-31,PASS_exact_joint_scope_xbrl_record
